timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-14 23:38:01,b'\xe2\x9c\xa1\xef\xb8\x8f\xf0\x9f\x8c\xba\xf0\x9f\x92\xa0\xf0\x9f\x8c\xb8\xf0\x9f\x92\x96\xe2\x9c\x8b\xf0\x9f\x92\x96\xf0\x9f\x8c\xb8\xf0\x9f\x92\xa0\xf0\x9f\x8c\xba\xe2\x9c\xa1\xef\xb8\x8f #Hamsa on Gold #tshirts #hats #cufflinks #iphone case #tie #flask #onesie  https://t.co/zQwvr9rtRc https://t.co/2oOdo9TBQV',b'LeeHillerDesign',"['Hamsa', 'tshirts', 'hats', 'cufflinks', 'iphone', 'tie', 'flask', 'onesie']",5460
2020-10-14 23:31:44,b'| This apple custard pie recipe is a decadent spin on the classic | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/OB2KcI3O8y',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 23:06:07,b'#mobilesecurity | #android | #iphone | Mobile Malware: What Makes It\xc2\xa0Dangerous? https://t.co/XwilLorPAo',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 23:01:06,b'| Apple Inc. stock outperforms market on strong trading day | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/zTuxsxBmrf',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 23:00:41,"b""Retailers like @burton_BURTON are using #Matterport for #iPhone to capture their stores in immersive #3D, opening #virtual doors to shoppers everywhere. You don't have to wait for #iPhone12 to open your business up to the world with our free Capture app https://t.co/um64qNCY39 https://t.co/Nrzz8JY8EF""",b'Matterport',"['Matterport', 'iPhone', '3D', 'virtual', 'iPhone12']",10619
2020-10-14 22:46:12,b'News:  The first early hands-on review of the #iPhone12 and #iPhone12Pro shows significantly faster download speeds compared to the #iPhone11.  https://t.co/BF1KgLefUw  #Apple #iPhone #AppleNews https://t.co/7lzndDjltD',b'AppleTerminal',"['iPhone12', 'iPhone12Pro', 'iPhone11', 'Apple', 'iPhone', 'AppleNews']",21233
2020-10-14 22:35:13,b'#mobilesecurity | #android | #iphone | Google and Intel warn of high-severity Bluetooth security bug in\xc2\xa0Linux https://t.co/kp28YB7kxP',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 22:32:00,"b'Ever had a LOUD alert beep while listening to music or video on your iPhone or iPad w/ headphones? Then it\'s time to enable ""reduce loud sounds"" before it gets you again! Here\'s how to enable this important setting: https://t.co/xOeQmVsH9j #iphone #hearing #audio https://t.co/H4QjCFq8Oe'",b'DaveTaylor',"['iphone', 'hearing', 'audio']",15106
2020-10-14 22:30:11,b'| Not Excited About The New iPhone 12? Apple Is Prepared. | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/GhA8a9pBPp',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 22:16:09,b'#wallpaper #iPhone12   MacOS Big Sur stock #wallpapers   for  - #iPhone11ProMax - #iPhone11Pro - #iPhone11  - #iPhoneXSMAX  - #iPhoneXR - #iPhoneXS  - #iPhoneX - ALL other #iPhone   Download \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb  https://t.co/qldxX3yhBu  Opt. By @AR72014 https://t.co/LYMcjMe9tv https://t.co/MnpPT3NZne',b'AR72014',"['wallpaper', 'iPhone12', 'wallpapers', 'iPhone11ProMax', 'iPhone11Pro', 'iPhone11', 'iPhoneXSMAX', 'iPhoneXR', 'iPhoneXS', 'iPhoneX', 'iPhone']",55376
2020-10-14 22:15:02,b'#KeepCalm #Hike on #Gifts https://t.co/akGn5lJlTw #Posters #Mugs #TShirts #Bags #iPhone Cases https://t.co/Ww7gCarxdu',b'HikeOurPlanet',"['KeepCalm', 'Hike', 'Gifts', 'Posters', 'Mugs', 'TShirts', 'Bags', 'iPhone']",7755
2020-10-14 22:04:02,b'What the #iPhone 12 tells us about the state of the smartphone industry in 2020 https://t.co/1zwfe4fie4 https://t.co/khB4OJA0CX',b'winsontang',['iPhone'],9831
2020-10-14 22:02:57,b'#mobilesecurity | #android | #iphone | Nokia 7.2 now receiving October security\xc2\xa0patch https://t.co/TCdnRLmFIX',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 21:59:24,b'| Apple releases iOS 14.2 beta 3 to developers [Update: Public beta too] | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/VF57OvPdHz',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 21:41:31,b'#iPhone photography tip:  - Problem: Oh no! There\xe2\x80\x99s a car in my shot and I don\xe2\x80\x99t like that - Solution: Take live pictures. Swipe up. Select long exposure. If car is moving quick enough it\xe2\x80\x99ll blur out.   #iPhonephotography #LifeHack https://t.co/aAryedh4iJ',b'TimBuckleyWX',"['iPhone', 'iPhonephotography', 'LifeHack']",9457
2020-10-14 21:31:26,b'Follow these simple steps and learn how to encode your first #NFC tag with #iPhone! https://t.co/eHjQtqT3AY  #technews #tech #technology #innovation #iot #apple #ios #video #youtube',b'BlueBite',"['NFC', 'iPhone', 'technews', 'tech', 'technology', 'innovation', 'iot', 'apple', 'ios', 'video', 'youtube']",5021
2020-10-14 21:28:19,b'| Samsung mocks Apple | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/mUc5MvvzJy',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
